© 2000-2025 QIAGEN. All rights reserved.

Analysis	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Doxo21 vs Cycling0	GLI1	 	transcription regulator	 	0.691	 	2.71E-13	BCL2L11,C1QTNF3,EGR1,FOS,GLI2,HES1,IL27RA,IMPA2,INSIG1,ITGB4,LFNG,MEST,MIDN,NREP,SCD,SERTAD4,SKP2,SLC1A3,SOCS3,TERT,TM4SF1,TNFAIP8L1	57 (11)
Doxo14 vs Cycling0	TP63	 	transcription regulator	 	0.650	 	1.39E-12	ADAMTS1,AMIGO2,AXL,CCN2,COL4A1,COL4A2,COL6A3,EDN1,EGR1,FOS,FOSB,G6PD,HES1,ITGB4,NID1,OXTR,PHGDH,RASL11A,SLC7A5,SLIT2,TERT,TPM1,WNT5B	61 (20)
Doxo21 vs Cycling0	TP63	 	transcription regulator	 	0.514	 	2.21E-12	ADAMTS1,AMIGO2,AXL,BCL2L11,CCN2,COL4A1,COL4A2,COL6A3,EDN1,EGR1,FOS,FOSB,G6PD,HES1,ITGB4,NID1,PHGDH,RASL11A,SLC7A5,SLIT2,TERT,TPM1,WNT5B	61 (21)
Palbo28 vs Cycling0	TP63	 	transcription regulator	 	0.014	 	1.53E-11	ADAMTS1,AMIGO2,AXL,BCL2L11,COL4A1,COL4A2,COL6A3,EDN1,EGR1,FOS,FOSB,G6PD,HES1,ITGB4,NID1,PHGDH,RASL11A,SLIT2,TERT,TINAGL1,WNT5B	51 (20)
Doxo14 vs Cycling0	GLI1	 	transcription regulator	 	0.602	 	1.08E-10	C1QTNF3,EGR1,FOS,GLI2,HES1,IL27RA,IMPA2,INSIG1,ITGB4,LFNG,MEST,MIDN,NREP,SCD,SKP2,SLC1A3,TERT,TM4SF1,TNFAIP8L1	51 (7)
Doxo21 vs Doxo3	TP63	 	transcription regulator	 	0.666	 	5.56E-10	AMIGO2,BCL2L11,CCN2,COL4A1,COL4A2,COL6A3,EGR1,FOS,FOSB,HES1,NID1,PHGDH,RASL11A,SLC7A5,TERT,TINAGL1	38 (20)
Doxo21 vs Cycling0	SMAD3	 	transcription regulator	Inhibited	-2.876	bias	5.31E-09	ADAMTS1,BCL2L11,CCN2,COL4A1,COL4A2,COL6A3,EDN1,EGR1,FBN2,FOS,GLI2,NET1,TERT,TPM1	65 (19)
Palbo28 vs Palbo3	ARID1A	 	transcription regulator	 	0.718	 	5.86E-09	COL4A1,EDN1,EGR1,FBN2,FOS,GDNF,HES1,HTRA3,ITGB4,LTBP4,MEST,NREP,PAK3,TERT	42 (19)
Doxo21 vs Cycling0	YAP1	 	transcription regulator	Inhibited	-3.900	bias	6.25E-09	ADAMTS1,AXL,BCL2L11,CCN2,CGB7,COL4A1,COL4A2,CXCL12,EDN1,EGR1,FOS,FOSB,GLI2,PHGDH,SKP2,SLC7A5,TERT,TPM1	72 (19)
Doxo3 vs Cycling0	GLI1	 	transcription regulator	 	0.718	 	8.31E-09	EGR1,FOS,HES1,IL27RA,INSIG1,ITGB4,MEST,MIDN,NREP,SCD,SOCS3,TERT,TM4SF1,TNFAIP8L1	37 (7)
Doxo21 vs Doxo3	YAP1	 	transcription regulator	Inhibited	-3.513	bias	1.11E-08	BCL2L11,CCN2,CGB7,COL4A1,COL4A2,CXCL12,EGR1,FOS,FOSB,GLI2,PHGDH,SKP2,SLC7A5,TERT	39 (20)
Doxo3 vs Cycling0	CREB1	 	transcription regulator	 	-1.787	bias	1.37E-08	ARHGAP33,CAMK4,EDN1,EGR1,FOS,FOSB,IER2,MEST,MIDN,MSMO1,NREP,PER1,SCD,SLC19A1	15 (2)
Doxo3 vs Cycling0	ARID1A	 	transcription regulator	 	0.440	 	2.35E-08	EDN1,EGR1,FBN2,FOS,HES1,HTRA3,ITGB4,MEST,NREP,PAK3,TERT,WNT3,WNT5B	29 (10)
Palbo28 vs Cycling0	ARID1A	 	transcription regulator	 	0.412	 	2.38E-08	COL4A1,EDN1,EGR1,FBN2,FOS,GDNF,HES1,ITGB4,LTBP4,MEST,NREP,PAK3,TERT,WNT3,WNT5B	52 (16)
Doxo21 vs Cycling0	FOXC1	 	transcription regulator	 	-1.000	bias	2.54E-08	BCL2L11,CXCL12,DLX6,EGR1,FOS,FOSB,KLF2,LFNG,OTX1,SOCS3	56 (17)
Doxo14 vs Cycling0	YAP1	 	transcription regulator	Inhibited	-3.770	bias	2.82E-08	ADAMTS1,AXL,CCN2,CGB7,COL4A1,COL4A2,CXCL12,EDN1,EGR1,FOS,FOSB,GLI2,PHGDH,SKP2,SLC7A5,TERT,TPM1	67 (20)
Doxo14 vs Cycling0	SMAD3	 	transcription regulator	Inhibited	-2.708	bias	3.54E-08	ADAMTS1,CCN2,COL4A1,COL4A2,COL6A3,EDN1,EGR1,FBN2,FOS,GLI2,NET1,TERT,TPM1	67 (20)
Palbo28 vs Palbo3	TP63	 	transcription regulator	 	0.270	 	3.64E-08	BCL2L11,COL4A1,COL4A2,EDN1,EGR1,FOS,FOSB,G6PD,HES1,ITGB4,NID1,OXTR,PHGDH,TERT,TINAGL1	35 (17)
Doxo21 vs Cycling0	MYC	 	transcription regulator	Inhibited	-2.429	bias	4.40E-08	ADAMTS1,AXL,BCL2L11,COL4A1,COL4A2,COL6A3,CTDSPL,DLEU2,DLX6,EDN1,EGR1,FADS2,FBN2,FOS,G6PD,GLI2,HES1,IMPA2,LHX9,MIR17HG,SKP2,SLC7A5,TERT,TNFRSF19,TPM1,WNT3	62 (18)
Palbo28 vs Cycling0	GLI1	 	transcription regulator	 	0.954	 	8.16E-08	BCL2L11,EGR1,FOS,HES1,INSIG1,ITGB4,MEST,NREP,SCD,SERTAD4,SKP2,SOCS3,TERT,TM4SF1,TNFAIP8L1	58 (15)
Doxo3 vs Cycling0	CREM	 	transcription regulator	 	-1.820	 	8.52E-08	CAMK4,EGR1,FOS,MEST,MIDN,MSMO1,PER1,TPM1	22 (4)
Doxo3 vs Cycling0	TP63	 	transcription regulator	 	-0.065	 	1.12E-07	ADAMTS1,AXL,EDN1,EGR1,FOS,FOSB,G6PD,HES1,ITGB4,NID1,SLIT2,TERT,TPM1,WNT5B	41 (21)
Doxo14 vs Cycling0	MYC	 	transcription regulator	Inhibited	-2.268	bias	1.14E-07	ADAMTS1,AXL,COL4A1,COL4A2,COL6A3,CTDSPL,DLEU2,DLX6,EDN1,EGR1,FADS2,FBN2,FOS,G6PD,GLI2,HES1,IMPA2,LHX9,MIR17HG,SKP2,SLC7A5,TERT,TNFRSF19,TPM1,WNT3	63 (17)
Doxo14 vs Cycling0	MRTFB	 	transcription regulator	Inhibited	-2.743	bias	1.14E-07	ADAMTS1,CCN2,COL6A3,CXCL12,EDN1,EGR1,FADS2,NREP,SLIT2,TPM1	37 (7)
Palbo28 vs Cycling0	TWIST1	 	transcription regulator	 	-0.690	bias	1.19E-07	ADAMTS1,AXL,BCL2L11,CBX2,COL4A1,CXCL12,FBN2,FOS,FREM2,OLFML3	 
Doxo21 vs Doxo3	RB1	 	transcription regulator	 	1.913	 	1.24E-07	BCL2L11,CCN2,COL4A1,COL4A2,EGR1,FOS,FOSB,GLI2,HES1,RYR3,SKP2,TERT	34 (15)
Doxo21 vs Cycling0	MRTFB	 	transcription regulator	Inhibited	-2.743	bias	1.40E-07	ADAMTS1,CCN2,COL6A3,CXCL12,EDN1,EGR1,FADS2,NREP,SLIT2,TPM1	48 (7)
Palbo28 vs Palbo3	GLI1	 	transcription regulator	 	1.026	 	1.51E-07	BCL2L11,EGR1,FOS,HES1,INSIG1,ITGB4,MEST,NREP,SCD,SERTAD4,SOCS3,TERT,TNFAIP8L1	37 (14)
Palbo28 vs Cycling0	ELK1	 	transcription regulator	Inhibited	-2.363	bias	1.63E-07	EGR1,FOS,FOSB,MIR17HG,SKP2,SOCS3,TERT	52 (19)
