© 2000-2025 QIAGEN. All rights reserved.

Analysis	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Doxo3 vs Cycling0	HSF1	 	transcription regulator	Activated	2.216	 	2.06E-03	BST2,CCL2,CRYAB,FGF7,IL6,PLIN2	52 (17)
Doxo14 vs Cycling0	HMG20A	 	transcription regulator	Activated	2.828	bias	1.47E-06	ADM,BST2,CSF1,IGFBP3,IL6,MGP,POSTN,SDC4	 
Doxo14 vs Cycling0	STAT3	 	transcription regulator	Activated	3.749	bias	4.84E-05	ADM,AMPD3,ANGPTL4,BST2,C3,CCL2,EPAS1,IL33,IL6,LBP,NDRG1,PCSK1,RORA,SDC4,SLC2A5,SLPI,SOD2,TRPM3	71 (16)
Doxo14 vs Cycling0	EPAS1	3.123	transcription regulator	Activated	2.428	bias	1.22E-05	ACP5,ADM,ANGPTL4,EPAS1,IGFBP3,IL6,NDRG1,PCDH10,PLIN2,SOD2,SPAG4	55 (10)
Doxo14 vs Cycling0	STAT4	 	transcription regulator	Activated	2.805	bias	2.52E-04	C3,CCL2,IL6,ITGA7,NDRG1,P4HA2,RORA,VSIR	55 (10)
Doxo14 vs Cycling0	HIF1A	 	transcription regulator	Activated	2.914	bias	1.45E-07	ADM,ANGPTL4,CCL2,CSF1,ELF3,EPAS1,GPER1,IGFBP3,IL6,mir-210,NDRG1,P4HA2,PCDH10,RAB11FIP4,RORA,SCG2,SDC4,SOD2,SPAG4	72 (15)
Doxo14 vs Cycling0	BHLHE40	 	transcription regulator	Activated	2.720	bias	6.06E-06	CSF2RB,GARIN1A,IL6,JCHAIN,LPAR1,NDRG1,PCSK1,PLIN2,SCARF1,SDC4,SOD2,TNFSF14	54 (8)
Doxo14 vs Cycling0	SIM1	 	transcription regulator	Activated	2.236	bias	1.90E-02	ADAM28,AKR1B1,ANGPTL4,POSTN,USP2	 
Doxo14 vs Cycling0	TWIST1	 	transcription regulator	Activated	2.762	bias	2.05E-04	BST2,C1QTNF1,C3,CCL2,IL6,PAMR1,PDGFRA,UNC5B	47 (7)
Doxo14 vs Cycling0	NOTCH3	 	transcription regulator	Activated	2.236	 	1.21E-03	COL14A1,EPAS1,IL6,ITGA7,PDK4,RGS5	61 (13)
Doxo14 vs Cycling0	JUN	 	transcription regulator	Activated	2.155	bias	1.78E-06	ACP5,ARHGDIB,C3,CCL2,CSF1,CYP2J2,EPAS1,IGFBP3,IL6,LBP,LPAR1,MITA1,NDRG1,PCSK1,PTGES,SOD2	63 (20)
Doxo14 vs Cycling0	SREBF1	 	transcription regulator	Activated	2.236	bias	2.00E-02	FABP3,GPNMB,HSD17B1,IL6,P4HA2,SEZ6L2	 
Doxo14 vs Cycling0	ARNT	 	transcription regulator	Activated	2.191	bias	1.36E-03	ADM,ANGPTL4,CRYAB,EPAS1,RGS5,SOD2	49 (7)
Doxo14 vs Cycling0	CEBPB	 	transcription regulator	Activated	3.342	bias	5.67E-05	ADM,C3,CCL2,CCL7,CYP2E1,HSD11B1,IGFBP3,IL6,LBP,MGP,PDGFRA,PDK4,PTGES,RORA,SOD2	77 (23)
Doxo14 vs Cycling0	FOXC1	 	transcription regulator	Activated	2.000	bias	3.36E-02	BST2,ELF3,GPNMB,IGFBP3	 
Doxo14 vs Cycling0	HNF1A	 	transcription regulator	Activated	2.433	bias	1.41E-04	AADAC,CYP2E1,ELF3,ENPEP,HSD11B1,LBP,NDRG1,PAMR1,PCSK1,SERPING1,SLPI,SNAP25-AS1,TMPRSS2	 
Doxo14 vs Cycling0	KLF6	 	transcription regulator	Activated	2.913	bias	1.68E-04	ADM,ANGPTL4,CCL2,CSF2RB,IL6,LPAR1,P4HA2,PLAT,SOD2	66 (13)
Doxo14 vs Cycling0	SMARCB1	 	transcription regulator	Activated	2.563	bias	1.24E-03	COL14A1,CSF1,CYP2E1,LBP,POSTN,PPP1R3C,TMOD1	 
Doxo14 vs Cycling0	ARNT2	 	transcription regulator	Activated	2.236	bias	1.61E-02	ADAM28,AKR1B1,ANGPTL4,POSTN,USP2	 
Doxo14 vs Cycling0	YAP1	 	transcription regulator	Activated	2.345	bias	3.62E-02	ANGPTL4,BST2,CCL2,CSF1,CYP2J2,CYTIP,IL6,NDRG1,PDK4	 
Doxo14 vs Cycling0	SOX9	 	transcription regulator	Activated	2.000	bias	2.07E-02	CYP26B1,IL6,LBP,POSTN	 
Doxo14 vs Cycling0	NFKB1	 	transcription regulator	Activated	2.249	bias	1.47E-07	AKR1B1,C3,CCL2,CSF1,ELF3,EPAS1,IGFBP3,IL6,KCNT2,LBP,MADCAM1,POU2F2,SDC4,SOD2	62 (13)
Doxo14 vs Cycling0	RELA	 	transcription regulator	Activated	2.268	bias	2.76E-05	ARHGDIB,C3,CCL2,CRYAB,ELF3,EPAS1,IL6,KCNT2,MADCAM1,MITA1,PTGES,SDC4,SLC2A5,SOD2	71 (14)
Doxo14 vs Cycling0	SMARCA4	 	transcription regulator	Activated	2.335	bias	4.56E-04	ARHGDIB,BEND5,C1orf54,CCL2,CSF1,GPR68,IGFBP3,IL6,ITGA7,MGP,PCDH1,PLAT,PLIN2,TSPAN13	 
Doxo14 vs Cycling0	ESRRA	 	transcription regulator	Activated	2.159	bias	1.64E-04	ANGPTL4,CCL2,ENPEP,EPAS1,FABP3,GSDMB,IL6,KRT38,MYOZ2,PDK4,UNC5B	48 (10)
Doxo14 vs Cycling0	POU2F2	1.114	transcription regulator	Activated	2.000	bias	5.04E-03	IL6,LRRC32,mir-210,POU2F2	 
Doxo14 vs Cycling0	IRF6	-0.944	transcription regulator	Activated	2.183	bias	7.26E-05	BST2,CCL2,IL6,PTGES,SOD2	68 (22)
Doxo21 vs Cycling0	HMG20A	 	transcription regulator	Activated	2.236	bias	3.57E-03	ADM,CSF1,IGFBP3,MGP,SDC4	 
Doxo21 vs Cycling0	STAT3	 	transcription regulator	Activated	3.111	bias	5.44E-03	ADM,AMPD3,ANGPTL4,BOC,C3,CCL2,EPAS1,ID1,IL33,LBP,PCSK1,RORA,SDC4,SLC2A5,SLPI,SOD2	71 (13)
Doxo21 vs Cycling0	FEV	 	transcription regulator	Activated	2.000	bias	7.88E-03	GRIA3,LPAR1,SCG2,SYT1	 
Doxo21 vs Cycling0	EPAS1	2.786	transcription regulator	Activated	2.218	bias	1.84E-03	ACP5,ADM,ANGPTL4,EPAS1,IGFBP3,PCDH10,PLIN2,SOD2,SPAG4	45 (9)
